gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1519710627	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	04aea485-f33b-4a5f-a83d-e601dd294ad8	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Vanessa	Vanessa cardui		SPECIES	Vanessa cardui (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	51.08447	0.83279	1000.0						2003-07-26T00:00:00Z	26	7	2003	4299368	4299368	HUMAN_OBSERVATION	Biological Records Centre	1		762460			CC_BY_4_0					2018-12-09T21:26:05.473Z		
1519710628	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	a161ca2d-4488-4c93-9c08-14ab618767d5	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Polygonia	Polygonia c-album		SPECIES	Polygonia c-album (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	52.25042	1.6099	1000.0						2014-07-02T00:00:00Z	2	7	2014	1898544	1898544	HUMAN_OBSERVATION	Biological Records Centre	1		5003677			CC_BY_4_0					2018-12-09T21:26:05.479Z		
1519710629	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	9b381b06-2b77-4ac2-9fac-2577b58d40a0	Animalia	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Ochlodes	Ochlodes sylvanus		SPECIES	Ochlodes sylvanus (Esper, 1777)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	50.94161	-0.78444	1000.0						1996-08-14T00:00:00Z	14	8	1996	1946844	1946844	HUMAN_OBSERVATION	Biological Records Centre	1		2161879			CC_BY_4_0					2018-12-09T21:26:05.479Z		
1519710630	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	46bbc878-a231-4a6a-aebc-96a3c44afc23	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris brassicae		SPECIES	Pieris brassicae (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	52.18858	-2.19889	1000.0						1999-07-15T00:00:00Z	15	7	1999	1920506	1920506	HUMAN_OBSERVATION	Biological Records Centre	1		145485			CC_BY_4_0					2018-12-09T21:26:05.575Z		
1519710631	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	62a16100-d4af-462f-933e-0f28c5593615	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris rapae		SPECIES	Pieris rapae (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	51.57371	-0.27702	1000.0						2002-08-01T00:00:00Z	1	8	2002	1920496	1920496	HUMAN_OBSERVATION	Biological Records Centre	1		3566627			CC_BY_4_0					2018-12-09T21:26:05.472Z		
1519710632	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	43e4d643-c314-4bb0-8c59-a7f98d39c449	Animalia	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Ochlodes	Ochlodes sylvanus		SPECIES	Ochlodes sylvanus (Esper, 1777)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	51.3935	-2.97155	1000.0						2009-06-25T00:00:00Z	25	6	2009	1946844	1946844	HUMAN_OBSERVATION	Biological Records Centre	1		3507503			CC_BY_4_0					2018-12-09T21:26:05.538Z		
1519710633	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	b1312b68-d2d2-4fdf-8a0c-30886664318e	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Pyronia	Pyronia tithonus		SPECIES	Pyronia tithonus (Linnaeus, 1767)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	52.16906	-1.36539	1000.0						2014-08-08T00:00:00Z	8	8	2014	7622059	7622059	HUMAN_OBSERVATION	Biological Records Centre	1		5058484			CC_BY_4_0					2018-12-09T21:26:05.528Z		
1519710634	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	81e58a84-08aa-4c70-ad56-bcae1f4ef095	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Maniola	Maniola jurtina		SPECIES	Maniola jurtina (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	51.54738	-0.32128	1000.0						2009-07-11T00:00:00Z	11	7	2009	5135513	5135513	HUMAN_OBSERVATION	Biological Records Centre	1		3565341			CC_BY_4_0					2018-12-09T21:26:05.488Z		
1519710635	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	217950e7-dbe4-46c6-8928-16bd4f4adbf1	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Vanessa	Vanessa atalanta		SPECIES	Vanessa atalanta (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	51.74131	-0.06787	1000.0						2014-06-17T00:00:00Z	17	6	2014	1898286	1898286	HUMAN_OBSERVATION	Biological Records Centre	1		4900684			CC_BY_4_0					2018-12-09T21:26:05.496Z		
1519710636	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	cfaa6876-7270-4f3c-9327-88297d903b17	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Maniola	Maniola jurtina		SPECIES	Maniola jurtina (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	52.48989	-0.21197	1000.0						2006-07-11T00:00:00Z	11	7	2006	5135513	5135513	HUMAN_OBSERVATION	Biological Records Centre	1		2519193			CC_BY_4_0					2018-12-09T21:26:05.527Z		
